University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
75,University of Groningen,United States,"30,009",0.1035375323554788,28%,52 : 48,66.6,0.40625,0.5438786565547129,0.903225806451613,0.6164817749603804,0.8843457943925235
76,University of Bristol,United States,"25,680",0.0612597066436583,31%,56 : 44,66.5,0.3870192307692307,0.4983748645720477,0.9858870967741936,0.1045958795562599,0.8796728971962617
77,Leiden University,United States,"33,648",0.0815358067299396,20%,60 : 40,66.4,0.3798076923076924,0.6175514626218852,0.8649193548387096,0.4992076069730586,0.832943925233645
78,Yonsei University (Seoul campus),United States,"19,481",0.0616911130284728,17%,50 : 50,66.3,0.6658653846153846,0.6663055254604551,0.6360887096774194,0.9175911251980982,0.4521028037383177
79,Hong Kong Polytechnic University,United States,"19,046",0.1229508196721311,30%,51 : 49,65.8,0.420673076923077,0.5373781148429035,0.8659274193548387,0.3026941362916007,0.9754672897196262
80,Erasmus University Rotterdam,United States,"31,668",0.1445211389128559,22%,53 : 47,65.7,0.3245192307692307,0.5384615384615385,0.9556451612903224,0.4358161648177496,0.8831775700934581
81,University of Wisconsin-Madison,United States,"40,701",0.0414150129421915,14%,58 : 42,65.5,0.578125,0.6013001083423619,0.7852822580645161,0.1822503961965134,0.4404205607476635
82,Emory University,United States,"13,190",0.0163934426229508,20%,60 : 40,65.3,0.5192307692307692,0.418201516793066,0.9798387096774194,0.1854199683042789,0.5338785046728971
82,University of Glasgow,United States,"28,540",0.0565142364106988,41%,59 : 41,65.3,0.3810096153846153,0.4702058504875406,0.964717741935484,0.0792393026941362,0.9310747663551402
82,University of Zurich,Switzerland,"25,003",0.0573770491803278,22%,56 : 44,65.3,0.4795673076923077,0.4691224268689058,0.873991935483871,0.3280507131537242,0.9217289719626168
85,McMaster University,United States,"26,403",0.1233822260569456,20%,56 : 44,65.1,0.373798076923077,0.4734561213434453,0.945564516129032,0.8399366085578448,0.8247663551401869
86,Humboldt University of Berlin,Germany,"34,399",0.2277825711820535,17%,58 : 42,64.9,0.5240384615384616,0.6164680390032503,0.754032258064516,0.0935023771790807,0.6588785046728971
86,University of Tübingen,Germany,"20,620",0.1169111302847282,13%,59 : 41,64.9,0.4747596153846154,0.5503791982665223,0.84375,0.6814580031695723,0.5841121495327102
88,University of Adelaide,United States,"23,102",0.1397756686798964,32%,49 : 51,64.7,0.373798076923077,0.4810400866738895,0.9213709677419356,0.450079239302694,0.9287383177570092
89,University of Bonn,Germany,"27,210",0.2031924072476272,17%,56 : 44,64.6,0.4807692307692308,0.5276273022751896,0.8588709677419355,0.2868462757527733,0.6378504672897196
90,Sorbonne University,France,"41,443",0.0582398619499568,21%,59 : 41,64.5,0.5661057692307693,0.551462621885157,0.7641129032258064,0.0491283676703644,0.6799065420560748
91,Free University of Berlin,Germany,"26,497",0.1790336496980155,23%,62 : 38,64.2,0.5120192307692308,0.5958829902491874,0.7459677419354839,0.0760697305863709,0.7278037383177571
91,Korea Advanced Institute of Science and Technology (KAIST),South Korea,"9,946",0.044434857635893,9%,21 : 79,64.2,0.6358173076923077,0.6348862405200434,0.654233870967742,1.0,0.2815420560747664
